"day","isotype","p","iteration"
"15","TotalG","0.163598508678116",3
"45","IgG1","0.0218555017428797",3
"45","IgG2ac","0.0244820661119685",3
"45","IgG2b","0.229138561004971",3
"45","IgG3","0.0500921529088245",3
"45","IgM","0.00788789097927227",3
"45","TotalG","0.182880536015099",3
"7","IgG1","0.628641483854833",4
"7","IgG2ac","0.105926160895374",4
"7","IgG2b","0.277456448954316",4
"7","IgG3","0.143947516911889",4
"7","IgM","0.0592777375591501",4
"7","TotalG","0.0867039541632831",4
"10","IgG1","0.496922180891449",4
"10","IgG2ac","0.782565434298187",4
"10","IgG2b","0.540546908183124",4
"10","IgG3","0.0502666009427815",4
"10","IgM","0.0445467710232088",4
"10","TotalG","0.716145218440812",4
"15","IgG1","0.775417088613453",4
"15","IgG2ac","0.0799192956885252",4
"15","IgG2b","0.351945390293897",4
"15","IgG3","0.428791644968399",4
"15","IgM","0.0702203846160853",4
"15","TotalG","0.194125051150896",4
"45","IgG1","0.595096657279739",4
"45","IgG2ac","0.95763719754826",4
"45","IgG2b","0.710329424024288",4
"45","IgG3","0.0831115885882144",4
"45","IgM","0.938292954865407",4
"45","TotalG","0.72739999759068",4
"7","IgG1","0.532225953086986",5
"7","IgG2ac","0.906986446335747",5
"7","IgG2b","0.922412867646299",5
"7","IgG3","0.733518512103413",5
"7","IgM","0.141591711031859",5
"7","TotalG","0.622814633897986",5
"10","IgG1","0.888587642121113",5
"10","IgG2ac","0.866235000903476",5
"10","IgG2b","0.693066549433213",5
"10","IgG3","0.827583298988253",5
"10","IgM","0.872863326755831",5
"10","TotalG","0.543131619063098",5
"15","IgG1","0.686753663615581",5
"15","IgG2ac","0.356749045185336",5
"15","IgG2b","0.482840865205612",5
"15","IgG3","0.164260068598795",5
"15","IgM","0.517806141261577",5
"15","TotalG","0.311060163393381",5
"45","IgG1","0.770282897607222",5
"45","IgG2ac","0.0698126140641002",5
"45","IgG2b","0.481763406843485",5
"45","IgG3","0.45563792921634",5
"45","IgM","0.906154166180617",5
"45","TotalG","0.746596692297646",5
"7","IgG1","0.502194516988383",6
"7","IgG2ac","0.991391904262491",6
"7","IgG2b","0.459687323377844",6
"7","IgG3","0.75443609726645",6
"7","IgM","0.541636145665617",6
"7","TotalG","0.874267002776103",6
"10","IgG1","0.672094169226956",6
"10","IgG2ac","0.9122119837837",6
"10","IgG2b","0.691868036954115",6
"10","IgG3","0.948375795182578",6
"10","IgM","0.709788299786496",6
"10","TotalG","0.726906035082978",6
"15","IgG1","0.737949754695571",6
"15","IgG2ac","0.860254948868225",6
"15","IgG2b","0.554240837618925",6
"15","IgG3","0.340389355992631",6
"15","IgM","0.0209809665554049",6
"15","TotalG","0.993297696829264",6
"45","IgG1","0.44051812264061",6
"45","IgG2ac","0.802178830451478",6
"45","IgG2b","0.67599312599788",6
"45","IgG3","0.465732459354445",6
"45","IgM","0.58451371682618",6
"45","TotalG","0.727418580436648",6
"7","IgG1","0.563052539677173",7
"7","IgG2ac","0.781949811750444",7
"7","IgG2b","0.91088391764065",7
"7","IgG3","0.792327081429798",7
"7","IgM","0.781863050148981",7
"7","TotalG","0.938606191908951",7
"10","IgG1","0.0712713834846639",7
"10","IgG2ac","0.837673428043008",7
"10","IgG2b","0.929374650426833",7
"10","IgG3","0.808740568674227",7
"10","IgM","0.731375994632989",7
"10","TotalG","0.787443653785102",7
"15","IgG1","0.845494340967412",7
"15","IgG2ac","0.259444660558131",7
"15","IgG2b","0.568096603326983",7
"15","IgG3","0.289421720885557",7
"15","IgM","0.946709866445905",7
"15","TotalG","0.274158499390109",7
"45","IgG1","0.352886036831958",7
"45","IgG2ac","0.942789968593833",7
"45","IgG2b","0.599260710641507",7
"45","IgG3","0.549763979987346",7
"45","IgM","0.330402752717213",7
"45","TotalG","0.535373760787496",7
"7","IgG1","0.360223230702847",8
"7","IgG2ac","0.826535062221603",8
"7","IgG2b","0.178448851145424",8
"7","IgG3","0.778239143745334",8
"7","IgM","0.0540355243018187",8
"7","TotalG","0.105818490432252",8
"10","IgG1","0.594222931077295",8
"10","IgG2ac","0.419521149819077",8
"10","IgG2b","0.858752983846114",8
"10","IgG3","0.269035521949137",8
"10","IgM","0.924874324849346",8
"10","TotalG","0.822682719080715",8
"15","IgG1","0.633225145175017",8
"15","IgG2ac","0.90560513183435",8
"15","IgG2b","0.557039190393449",8
"15","IgG3","0.798314466466559",8
"15","IgM","0.827038874189489",8
"15","TotalG","0.333289631564518",8
"45","IgG1","0.338593269793302",8
"45","IgG2ac","0.860235256668125",8
"45","IgG2b","0.695328082279044",8
"45","IgG3","0.424491652409503",8
"45","IgM","0.425378936384236",8
"45","TotalG","0.136100365655008",8
"7","IgG1","0.811039185286918",9
"7","IgG2ac","0.181192689281932",9
"7","IgG2b","0.993245359536415",9
"7","IgG3","0.134027648872157",9
"7","IgM","0.58005035711919",9
"7","TotalG","0.456513612793909",9
"10","IgG1","0.940598460982192",9
"10","IgG2ac","0.406255769214404",9
"10","IgG2b","0.337436846018454",9
"10","IgG3","0.927337983910069",9
"10","IgM","0.215240183521538",9
"10","TotalG","0.819504504777047",9
"15","IgG1","0.497673295966062",9
"15","IgG2ac","0.293644265050877",9
"15","IgG2b","0.217255499270686",9
"15","IgG3","0.0649201974596239",9
"15","IgM","0.362139462903961",9
"15","TotalG","0.60115161619046",9
"45","IgG1","0.0821208831399223",9
"45","IgG2ac","0.877900824072564",9
"45","IgG2b","0.973200614904147",9
"45","IgG3","0.175909593340254",9
"45","IgM","0.937246886131654",9
"45","TotalG","0.370729660351162",9
"7","IgG1","0.422700403187895",10
"7","IgG2ac","0.972441605222653",10
"7","IgG2b","0.206724123176847",10
"7","IgG3","0.622488713318197",10
"7","IgM","0.752707348663706",10
"7","TotalG","0.7662034741979",10
"10","IgG1","0.553141749841452",10
"10","IgG2ac","0.449225343198728",10
"10","IgG2b","0.859151988318719",10
"10","IgG3","0.133368233382837",10
"10","IgM","0.837588465535902",10
"10","TotalG","0.658125031934339",10
"15","IgG1","0.874555340377283",10
"15","IgG2ac","0.931393575887941",10
"15","IgG2b","0.718034948012262",10
"15","IgG3","0.116735740010106",10
"15","IgM","0.507436331848561",10
"15","TotalG","0.52948489841515",10
"45","IgG1","0.742409543149742",10
"45","IgG2ac","0.0250833438578183",10
"45","IgG2b","0.0513324013011796",10
"45","IgG3","0.132826871319917",10
"45","IgM","0.660945421285829",10
"45","TotalG","0.00286226404775043",10
"7","IgG1","0.186588101893996",11
"7","IgG2ac","0.14150079326371",11
"7","IgG2b","0.335061192868692",11
"7","IgG3","0.00547996404311063",11
"7","IgM","0.803199262062529",11
"7","TotalG","0.0169830761720832",11
"10","IgG1","0.0859937230925404",11
"10","IgG2ac","0.992672235486638",11
"10","IgG2b","0.79912457441826",11
"10","IgG3","0.83536335445007",11
"10","IgM","0.459745169286085",11
"10","TotalG","0.870006550674627",11
"15","IgG1","0.113824364174582",11
"15","IgG2ac","0.850377311694093",11
"15","IgG2b","0.421330916346916",11
"15","IgG3","0.720895874741446",11
"15","IgM","0.870672579072793",11
"15","TotalG","0.689787833273296",11
"45","IgG1","0.661008399958103",11
"45","IgG2ac","0.681628922169012",11
"45","IgG2b","0.485315919089833",11
"45","IgG3","0.699416676963824",11
"45","IgM","0.575422515593188",11
"45","TotalG","0.427091371155156",11
"7","IgG1","0.794385283258192",12
"7","IgG2ac","0.528254531878599",12
"7","IgG2b","0.677454242810273",12
"7","IgG3","0.957627203123363",12
"7","IgM","0.191523725753648",12
"7","TotalG","0.0686472312058463",12
"10","IgG1","0.361469373924203",12
"10","IgG2ac","0.708807091846965",12
"10","IgG2b","0.464165686280829",12
"10","IgG3","0.595536583634462",12
"10","IgM","0.299759633611468",12
"10","TotalG","0.397737353399154",12
"15","IgG1","0.421815649635673",12
"15","IgG2ac","0.102684685266578",12
"15","IgG2b","0.0211510989257409",12
"15","IgG3","0.00747487170273805",12
"15","IgM","0.0797260418016811",12
"15","TotalG","0.0793539938013309",12
"45","IgG1","0.821147528818561",12
"45","IgG2ac","0.644668903656877",12
"45","IgG2b","0.289593724535268",12
"45","IgG3","0.938294810032171",12
"45","IgM","0.967275850600718",12
"45","TotalG","0.730753782097619",12
"7","IgG1","0.880918313292817",13
"7","IgG2ac","0.555842764981128",13
"7","IgG2b","0.31828113826729",13
"7","IgG3","0.550260896649468",13
"7","IgM","0.348502539425961",13
"7","TotalG","0.878254622522821",13
"10","IgG1","0.484035011252236",13
"10","IgG2ac","0.00108571088089291",13
"10","IgG2b","0.191482542476235",13
"10","IgG3","0.477157273109673",13
"10","IgM","0.328317375336967",13
"10","TotalG","0.0224174442451495",13
"15","IgG1","0.163426138201843",13
"15","IgG2ac","0.888347992469974",13
"15","IgG2b","0.516233650764664",13
"15","IgG3","0.588971117432213",13
"15","IgM","0.291966585586014",13
"15","TotalG","0.950576418924118",13
"45","IgG1","0.58756198727848",13
"45","IgG2ac","0.936047243583128",13
"45","IgG2b","0.431788847806887",13
"45","IgG3","0.655692059800991",13
"45","IgM","0.527196372614043",13
"45","TotalG","0.454447058140337",13
"7","IgG1","0.105733203093473",14
"7","IgG2ac","0.70581818093222",14
"7","IgG2b","0.130618840846725",14
"7","IgG3","0.984039212519269",14
"7","IgM","0.786941581822315",14
"7","TotalG","0.0551890026337684",14
"10","IgG1","0.72343487580902",14
"10","IgG2ac","0.594559481755142",14
"10","IgG2b","0.588036295384035",14
"10","IgG3","0.713854974316969",14
"10","IgM","0.422362737451206",14
"10","TotalG","0.848335838791586",14
"15","IgG1","0.697476512383826",14
"15","IgG2ac","0.167454390759235",14
"15","IgG2b","0.39052643530676",14
"15","IgG3","0.147689116093065",14
"15","IgM","0.986836350656567",14
"15","TotalG","0.352237416315291",14
"45","IgG1","0.282015942198251",14
"45","IgG2ac","0.201085770543004",14
"45","IgG2b","0.0962802739181844",14
"45","IgG3","0.0919321802069278",14
"45","IgM","0.525636988622109",14
"45","TotalG","0.285765686949992",14
"7","IgG1","0.635230958800049",15
"7","IgG2ac","0.767329564473047",15
"7","IgG2b","0.309984052032897",15
"7","IgG3","0.345345224361037",15
"7","IgM","0.66805258803379",15
"7","TotalG","0.650287050023864",15
"10","IgG1","0.885082395214162",15
"10","IgG2ac","0.0437156880522962",15
"10","IgG2b","0.1464295564836",15
"10","IgG3","0.0452652978114403",15
"10","IgM","0.895321079740946",15
"10","TotalG","0.848169115397241",15
"15","IgG1","0.228860875022438",15
"15","IgG2ac","0.426072085843999",15
"15","IgG2b","0.896873684312911",15
"15","IgG3","0.71576421739893",15
"15","IgM","0.908200705572554",15
"15","TotalG","0.900193494875229",15
"45","IgG1","0.48608821996773",15
"45","IgG2ac","0.091762977208663",15
"45","IgG2b","0.486802315418804",15
"45","IgG3","0.56276232272444",15
"45","IgM","0.733078413222889",15
"45","TotalG","0.251825027276327",15
"7","IgG1","0.863583517358705",16
"7","IgG2ac","0.760722447093901",16
"7","IgG2b","0.197412626434534",16
"7","IgG3","0.689211025328067",16
"7","IgM","0.861050928254047",16
"7","TotalG","0.368582707517544",16
"10","IgG1","0.377018003822477",16
"10","IgG2ac","0.905280424035733",16
"10","IgG2b","0.528730310253576",16
"10","IgG3","0.950205081381698",16
"10","IgM","0.570407414848838",16
"10","TotalG","0.297228980569735",16
"15","IgG1","0.620084632456569",16
"15","IgG2ac","0.980848165144277",16
"15","IgG2b","0.595236280143587",16
"15","IgG3","0.333270607281755",16
"15","IgM","0.710458280866186",16
"15","TotalG","0.712694943666236",16
"45","IgG1","0.570637790256878",16
"45","IgG2ac","0.210603419790057",16
"45","IgG2b","0.566232657997289",16
"45","IgG3","0.63453674561906",16
"45","IgM","0.434442792119606",16
"45","TotalG","0.660504560376926",16
"7","IgG1","0.199968221465944",17
"7","IgG2ac","0.0430341775854836",17
"7","IgG2b","0.17452349370887",17
"7","IgG3","0.289421247286878",17
"7","IgM","0.0305199684407832",17
"7","TotalG","0.376282723088266",17
"10","IgG1","0.755382495620347",17
"10","IgG2ac","0.631218502625315",17
"10","IgG2b","0.827972462225575",17
"10","IgG3","0.0158278744295844",17
"10","IgM","0.565965593295929",17
"10","TotalG","0.767686183004764",17
"15","IgG1","0.611432772334031",17
"15","IgG2ac","0.630782581678374",17
"15","IgG2b","0.703661089377703",17
"15","IgG3","0.628343946551354",17
"15","IgM","0.706125226021063",17
"15","TotalG","0.729235501550252",17
"45","IgG1","0.769800181857867",17
"45","IgG2ac","0.560077984738464",17
"45","IgG2b","0.502906615416812",17
"45","IgG3","0.733281701875149",17
"45","IgM","0.325006817652512",17
"45","TotalG","0.886682474716786",17
"7","IgG1","0.807548635540172",18
"7","IgG2ac","0.547345345080765",18
"7","IgG2b","0.401657746104054",18
"7","IgG3","0.509380309200341",18
"7","IgM","0.860666135346968",18
"7","TotalG","0.296760271911107",18
"10","IgG1","0.492278262151318",18
"10","IgG2ac","0.95444556934562",18
"10","IgG2b","0.680996091219204",18
"10","IgG3","0.600353515863314",18
"10","IgM","0.353548069502645",18
"10","TotalG","0.722870036602723",18
"15","IgG1","0.232530162493627",18
"15","IgG2ac","0.0708650288009501",18
"15","IgG2b","0.047242026510153",18
"15","IgG3","0.0929165490461521",18
"15","IgM","0.0395593670410549",18
"15","TotalG","0.111975847590501",18
"45","IgG1","0.58802765744756",18
"45","IgG2ac","0.237717564878512",18
"45","IgG2b","0.696725231359666",18
"45","IgG3","0.669838879398698",18
"45","IgM","0.627980952680007",18
"45","TotalG","0.837834647942026",18
"7","IgG1","0.854230888537711",19
"7","IgG2ac","0.0984853189195251",19
"7","IgG2b","0.218241566019628",19
"7","IgG3","0.362914405746717",19
"7","IgM","0.454031748764884",19
"7","TotalG","0.971902806928047",19
"10","IgG1","0.518552754050418",19
"10","IgG2ac","0.0980414083693357",19
"10","IgG2b","0.178892007325122",19
"10","IgG3","0.359240398822559",19
"10","IgM","0.380547871314062",19
"10","TotalG","0.106892165376979",19
"15","IgG1","0.443278132065652",19
"15","IgG2ac","0.14408965067476",19
"15","IgG2b","0.0838219700942646",19
"15","IgG3","0.13472924631001",19
"15","IgM","0.429205107192851",19
"15","TotalG","0.497101326448839",19
"45","IgG1","0.775700317110906",19
"45","IgG2ac","0.403457487172668",19
"45","IgG2b","0.726805561955927",19
"45","IgG3","0.498069013897824",19
"45","IgM","0.219307363973613",19
"45","TotalG","0.364800274108752",19
"7","IgG1","0.863327662345483",20
"7","IgG2ac","0.40214317732889",20
"7","IgG2b","0.916975649977221",20
"7","IgG3","0.327640606081339",20
"7","IgM","0.137348146856199",20
"7","TotalG","0.41770098573864",20
"10","IgG1","0.523910637454429",20
"10","IgG2ac","0.634470687724819",20
"10","IgG2b","0.094969872495133",20
"10","IgG3","0.704281130423067",20
"10","IgM","0.132991346821961",20
"10","TotalG","0.71477225234151",20
"15","IgG1","0.98325398470639",20
"15","IgG2ac","0.128069235833188",20
"15","IgG2b","0.138328215132827",20
"15","IgG3","0.230407512756314",20
"15","IgM","0.748136385686223",20
"15","TotalG","0.19131223113596",20
"45","IgG1","0.893559640559222",20
"45","IgG2ac","0.94915530665676",20
"45","IgG2b","0.627435358838228",20
"45","IgG3","0.617154423792063",20
"45","IgM","0.0888218226853243",20
"45","TotalG","0.467462229429497",20
"7","IgG1","0.868921900301549",21
"7","IgG2ac","0.374150745481471",21
"7","IgG2b","0.334809589409129",21
"7","IgG3","0.18824505104677",21
"7","IgM","0.257310521380883",21
"7","TotalG","0.734082481927714",21
"10","IgG1","0.604907149737454",21
"10","IgG2ac","0.338351393077139",21
"10","IgG2b","0.292431808377844",21
"10","IgG3","0.694585297022531",21
"10","IgM","0.673937175320638",21
"10","TotalG","0.755492989673441",21
"15","IgG1","0.0128307146463059",21
"15","IgG2ac","0.00379865072309325",21
"15","IgG2b","0.402199351079473",21
"15","IgG3","0.181735793876883",21
"15","IgM","0.493296812518969",21
"15","TotalG","0.0868838554505894",21
"45","IgG1","0.157406620294529",21
"45","IgG2ac","0.27838123027559",21
"45","IgG2b","0.569773367393614",21
"45","IgG3","0.610407033869302",21
"45","IgM","0.731713274057511",21
"45","TotalG","0.0548284432042777",21
"7","IgG1","0.284215685916239",22
"7","IgG2ac","0.373105055135211",22
"7","IgG2b","0.437649665924299",22
"7","IgG3","0.511670278513513",22
"7","IgM","0.412734208282557",22
"7","TotalG","0.950025311393173",22
"10","IgG1","0.857654796564994",22
"10","IgG2ac","0.0822994157238104",22
"10","IgG2b","0.172795916485683",22
"10","IgG3","0.439041868126034",22
"10","IgM","0.0493735685439869",22
"10","TotalG","0.398726171803608",22
"15","IgG1","0.288825536649584",22
"15","IgG2ac","0.677056503211924",22
"15","IgG2b","0.0580113389961604",22
"15","IgG3","0.493071734172109",22
"15","IgM","0.60915245709914",22
"15","TotalG","0.487814737486812",22
"45","IgG1","0.141408868085703",22
"45","IgG2ac","0.0433822108407621",22
"45","IgG2b","0.0173469141714994",22
"45","IgG3","0.236963354461529",22
"45","IgM","0.0864356650468065",22
"45","TotalG","0.00673786514461415",22
"7","IgG1","0.731432083353802",23
"7","IgG2ac","0.107353638703943",23
"7","IgG2b","0.0983330559717082",23
"7","IgG3","0.77976084786756",23
"7","IgM","0.418092801710544",23
"7","TotalG","0.00200333076515622",23
"10","IgG1","0.00973227236533803",23
"10","IgG2ac","0.0991490273520879",23
"10","IgG2b","0.234616605773364",23
"10","IgG3","0.495685825338038",23
"10","IgM","0.92449190117895",23
"10","TotalG","0.425793430354814",23
"15","IgG1","0.786371287957068",23
"15","IgG2ac","0.832317768150371",23
"15","IgG2b","0.955524538364765",23
"15","IgG3","0.548266660405742",23
"15","IgM","0.158215434211304",23
"15","TotalG","0.695857155246507",23
"45","IgG1","0.919137437203365",23
"45","IgG2ac","0.840913454047492",23
"45","IgG2b","0.256971549565947",23
"45","IgG3","0.0465743155476716",23
"45","IgM","0.417370052091111",23
"45","TotalG","0.80194115847836",23
"7","IgG1","0.115142466226928",24
"7","IgG2ac","0.643388286466683",24
"7","IgG2b","0.383572933759427",24
"7","IgG3","0.627611371409955",24
"7","IgM","0.841126364689161",24
"7","TotalG","0.627755909906853",24
"10","IgG1","0.144812853499624",24
"10","IgG2ac","0.986414684441951",24
"10","IgG2b","0.791859593326337",24
"10","IgG3","0.915981283580085",24
"10","IgM","0.608398251319783",24
"10","TotalG","0.143167062920211",24
"15","IgG1","0.589816446275916",24
"15","IgG2ac","0.824623819989977",24
"15","IgG2b","0.715092127953828",24
"15","IgG3","0.666900701999769",24
"15","IgM","0.644822252166832",24
"15","TotalG","0.491071274388372",24
"45","IgG1","0.261039180705405",24
"45","IgG2ac","0.716626413972404",24
"45","IgG2b","0.811361488679773",24
"45","IgG3","0.306135420856004",24
"45","IgM","0.0153518822110322",24
"45","TotalG","0.948492841627058",24
"7","IgG1","0.421089545410217",25
"7","IgG2ac","0.500265825851737",25
"7","IgG2b","0.328103294957005",25
"7","IgG3","0.596330807434606",25
"7","IgM","0.196484499258281",25
"7","TotalG","0.775298784478134",25
"10","IgG1","0.815443891815651",25
"10","IgG2ac","0.288229999797258",25
"10","IgG2b","0.728456567255795",25
"10","IgG3","0.59349143483907",25
"10","IgM","0.976630283676981",25
"10","TotalG","0.227402247403692",25
"15","IgG1","0.606171657507443",25
"15","IgG2ac","0.509568013100085",25
"15","IgG2b","0.465275787116383",25
"15","IgG3","0.0906194504310446",25
"15","IgM","0.571906371954023",25
"15","TotalG","0.637192096302931",25
"45","IgG1","0.530643831657661",25
"45","IgG2ac","0.865409629483519",25
"45","IgG2b","0.701540356802302",25
"45","IgG3","0.156066560457721",25
"45","IgM","0.791075061994796",25
"45","TotalG","0.810202213359707",25
"7","IgG1","0.779133711793354",26
"7","IgG2ac","0.826566778107811",26
"7","IgG2b","0.102307539946038",26
"7","IgG3","0.697123071958581",26
"7","IgM","0.728501453177652",26
"7","TotalG","0.0763229676391431",26
"10","IgG1","0.00216014498966514",26
"10","IgG2ac","0.127305983117229",26
"10","IgG2b","0.0797545800688917",26
"10","IgG3","0.26192606876038",26
"10","IgM","0.0580226854525349",26
"10","TotalG","0.0565461925096014",26
"15","IgG1","0.675669934903306",26
"15","IgG2ac","0.819228065890683",26
"15","IgG2b","0.611357598939108",26
"15","IgG3","0.798929956550343",26
"15","IgM","0.599469192203415",26
"15","TotalG","0.255237905125735",26
"45","IgG1","0.970372937069452",26
"45","IgG2ac","0.318759152597484",26
"45","IgG2b","0.396434644640666",26
"45","IgG3","0.759930425051864",26
"45","IgM","0.833100305098947",26
"45","TotalG","0.152800381120924",26
"7","IgG1","0.743740400766921",27
"7","IgG2ac","0.448605885608309",27
"7","IgG2b","0.585961681193745",27
"7","IgG3","0.796406724813087",27
"7","IgM","0.447128767155662",27
"7","TotalG","0.622253251751429",27
"10","IgG1","0.683087837452413",27
"10","IgG2ac","0.457465076074483",27
"10","IgG2b","0.227327829363512",27
"10","IgG3","0.200834603486829",27
"10","IgM","0.0503044116144916",27
"10","TotalG","0.781525386803061",27
"15","IgG1","0.189220683342142",27
"15","IgG2ac","0.374042883705591",27
"15","IgG2b","0.781777705622759",27
"15","IgG3","0.496632582688036",27
"15","IgM","0.722273839014308",27
"15","TotalG","0.875121427763524",27
"45","IgG1","0.552330304908302",27
"45","IgG2ac","0.540845176474607",27
"45","IgG2b","0.533652501847629",27
"45","IgG3","0.12265503960656",27
"45","IgM","0.104051364598763",27
"45","TotalG","0.794605771945185",27
"7","IgG1","0.723665628043366",28
"7","IgG2ac","0.928941594591364",28
"7","IgG2b","0.263748523117253",28
"7","IgG3","0.690280697265406",28
"7","IgM","0.581683230932939",28
"7","TotalG","0.979948895844136",28
"10","IgG1","0.994455737728942",28
"10","IgG2ac","0.236809254649715",28
"10","IgG2b","0.0760411702522377",28
"10","IgG3","0.280406805461192",28
"10","IgM","0.538722011495036",28
"10","TotalG","0.323218636604145",28
"15","IgG1","0.285358025785733",28
"15","IgG2ac","0.549924996973934",28
"15","IgG2b","0.761491116706466",28
"15","IgG3","0.294199738297267",28
"15","IgM","0.539222844476759",28
"15","TotalG","0.339958610048467",28
"45","IgG1","0.946733181773475",28
"45","IgG2ac","0.579596986490397",28
"45","IgG2b","0.193925654343469",28
"45","IgG3","0.663292461824713",28
"45","IgM","0.894202627217702",28
"45","TotalG","0.878050235726146",28
"7","IgG1","0.644358638407883",29
"7","IgG2ac","0.0306671683355018",29
"7","IgG2b","0.264128514591013",29
"7","IgG3","0.47178280096863",29
"7","IgM","0.35423837757329",29
"7","TotalG","0.722004698330344",29
"10","IgG1","0.561086231154718",29
"10","IgG2ac","0.309689228664283",29
"10","IgG2b","0.202476738061229",29
"10","IgG3","0.773594564653816",29
"10","IgM","0.469084979875389",29
"10","TotalG","0.204683252607512",29
"15","IgG1","0.554967557179954",29
"15","IgG2ac","0.215763946642051",29
"15","IgG2b","0.251651264603956",29
"15","IgG3","0.676080145237368",29
"15","IgM","0.291324025284185",29
"15","TotalG","0.245192515299997",29
"45","IgG1","0.00726365720442899",29
"45","IgG2ac","0.0246067951169465",29
"45","IgG2b","0.0116315958167591",29
"45","IgG3","0.10516115125952",29
"45","IgM","0.777013184930936",29
"45","TotalG","0.00697289612841488",29
"7","IgG1","0.251843911464842",30
"7","IgG2ac","0.0336496356286746",30
"7","IgG2b","0.2003340254882",30
"7","IgG3","0.175983341657909",30
"7","IgM","0.958256448317934",30
"7","TotalG","0.964858964520575",30
"10","IgG1","0.552295178130432",30
"10","IgG2ac","0.137817548603923",30
"10","IgG2b","0.266373462717295",30
"10","IgG3","0.377702258049378",30
"10","IgM","0.4133989512756",30
"10","TotalG","0.336753579890039",30
"15","IgG1","0.167428893698894",30
"15","IgG2ac","0.405895130929396",30
"15","IgG2b","0.86425960753029",30
"15","IgG3","0.4040151946296",30
"15","IgM","0.191230872195581",30
"15","TotalG","0.28710367970598",30
"45","IgG1","0.140872120209355",30
"45","IgG2ac","0.0613331417107903",30
"45","IgG2b","0.045930339276196",30
"45","IgG3","0.841951007909426",30
"45","IgM","0.569481842280554",30
"45","TotalG","0.149637666781095",30
"7","IgG1","0.774022596340233",31
"7","IgG2ac","0.766341899437414",31
"7","IgG2b","0.334109026348115",31
"7","IgG3","0.686380976248136",31
"7","IgM","0.485090687062861",31
"7","TotalG","0.932701997254513",31
"10","IgG1","0.884427891941302",31
"10","IgG2ac","0.921127272572994",31
"10","IgG2b","0.578592727150548",31
"10","IgG3","0.922612301441661",31
"10","IgM","0.623035907741227",31
"10","TotalG","0.814815551220944",31
"15","IgG1","0.601908596243484",31
"15","IgG2ac","0.323121355999717",31
"15","IgG2b","0.13328211351605",31
"15","IgG3","0.164585179187502",31
"15","IgM","0.672341394739058",31
"15","TotalG","0.419844855496121",31
"45","IgG1","0.12540324962137",31
"45","IgG2ac","0.562301726974601",31
"45","IgG2b","0.503889426322552",31
"45","IgG3","0.968700028897685",31
"45","IgM","0.435476592997022",31
"45","TotalG","0.514143464202533",31
"7","IgG1","0.475969445419823",32
"7","IgG2ac","0.478399967882907",32
"7","IgG2b","0.974572097483511",32
"7","IgG3","0.879075036460429",32
"7","IgM","0.937391634341749",32
"7","TotalG","0.759163100011124",32
"10","IgG1","0.534987595507552",32
"10","IgG2ac","0.715137839982927",32
"10","IgG2b","0.66435040745975",32
"10","IgG3","0.738359620197122",32
"10","IgM","0.376420825217463",32
"10","TotalG","0.600377344013155",32
"15","IgG1","0.356531583515276",32
